🔒 Row ID,Master Event ID,SKU ID,Flag is Active,Flag Message,Flag Type Code,Event Code,Ownership/User ID,Ownership/Owner ID,Ownership/Location ID,History/User Name,History/Flagged by Signature,History/Timestamp,History/Created on Page
INvjTbPsL1U2HnrKcA04,ytZLj3X0QDuaR-Bd0z.MSw,9hgNQIDQQjag-oGlTRTWaQ,,✅ Flag Cleared by Richard,,3,Yf4mVmvKQDqbClJDREe1rQ,wuqj75edR0670x.mQmMz0A,,Richard,,2025-05-23T12:18:27.221Z,
n-82clUSQ1m-VqdsB879ow,6qrRveXJ10jHWSuHpb66,a.3h3yATBQ0GJ4jBE5UEhag,true,,6,1,Odva.aCuQneLBTlOxeNJcw,wuqj75edR0670x.mQmMz0A,QG-A.oJrSF2AmUnmgpDNUg,Mountsorrel Manager,Magda,2025-05-23T13:35:41.272Z,
RbLvs2VdazxmRdeIz8GP,6qrRveXJ10jHWSuHpb66,a.3h3yATBQ0GJ4jBE5UEhag,,✅ Flag Cleared by Richard,,3,Yf4mVmvKQDqbClJDREe1rQ,wuqj75edR0670x.mQmMz0A,,Richard,,2025-05-23T13:38:57.026Z,
5anM9-2jTMeTIofVuPsiXQ,TLzqX9RQqHYAsaUWaER2,uNKEGww8SVWyVYQj8vslaA,true,,2,1,trBDUhcWTzusuQFFoDjcRw,7jWCFKO9SGmYNSUTyjdRSw,Wrb-5IgyT1-lRXkb77zs6Q,New Co Owner Demo,jon,2025-05-26T08:48:58.100Z,
X.I-wQqETRu-Arm1Ze.ZNg,kcV1xSmURA2PsnXYAeUu,R25RyyZARFa8c149ZvCDTA,true,,2,1,trBDUhcWTzusuQFFoDjcRw,7jWCFKO9SGmYNSUTyjdRSw,Wrb-5IgyT1-lRXkb77zs6Q,New Co Owner Demo,Jon,2025-05-26T08:50:28.215Z,
Rjz6uBwJhg913Z3gtoC9,TLzqX9RQqHYAsaUWaER2,uNKEGww8SVWyVYQj8vslaA,,✅ Flag Cleared by New Co Owner Demo,,3,trBDUhcWTzusuQFFoDjcRw,7jWCFKO9SGmYNSUTyjdRSw,Wrb-5IgyT1-lRXkb77zs6Q,New Co Owner Demo,,2025-05-26T08:53:32.980Z,
4s0vk2Cu0ZSmEkd1HXYe,kcV1xSmURA2PsnXYAeUu,R25RyyZARFa8c149ZvCDTA,,✅ Flag Cleared by New Co Owner Demo,,3,trBDUhcWTzusuQFFoDjcRw,7jWCFKO9SGmYNSUTyjdRSw,Wrb-5IgyT1-lRXkb77zs6Q,New Co Owner Demo,,2025-05-26T08:53:39.327Z,
CTl1lijmQf2TtFGJUFYGBg,DnK2ZoGF3iaVutSNVnMG,uNKEGww8SVWyVYQj8vslaA,true,,8,1,N3AjDfQHRTyGWXiecZl7Ew,7jWCFKO9SGmYNSUTyjdRSw,oFfCFx8eS2--kBJ.DYP8Mw,Demo Manager Notts,jon,2025-06-02T10:32:00.737Z,
JmpGKGuLbuvcVP8CcK8f,DnK2ZoGF3iaVutSNVnMG,cznMCrCiRZygSVeT.nDsEg,,✅ Flag Cleared by Demo Admin,,3,LoYTDAlDSFisIGRiyVXcFA,7jWCFKO9SGmYNSUTyjdRSw,,Demo Admin,,2025-06-05T09:41:32.145Z,
zsun1MZASpa8ocKLUoMn5w,fH7Lz1G4C74cOwaSHAuj,bZ4x.q5vQy-H9uvKVvE2wA,true,,1,1,LoYTDAlDSFisIGRiyVXcFA,7jWCFKO9SGmYNSUTyjdRSw,Wrb-5IgyT1-lRXkb77zs6Q,Demo Admin,jon,2025-06-05T18:51:08.692Z,
csuVBT6NF8JCP5V6KyKp,fH7Lz1G4C74cOwaSHAuj,0JNInoPFRSWiOjGwJe36Ow,,✅ Flag Cleared by Demo Admin,,3,LoYTDAlDSFisIGRiyVXcFA,7jWCFKO9SGmYNSUTyjdRSw,,Demo Admin,,2025-06-06T11:21:19.690Z,
9xxEZr6lT4OYKcND0t2nxg,6aDbqAwTt4zFRcqLgWZ8,uNKEGww8SVWyVYQj8vslaA,true,,2,1,N3AjDfQHRTyGWXiecZl7Ew,7jWCFKO9SGmYNSUTyjdRSw,oFfCFx8eS2--kBJ.DYP8Mw,Demo Manager Notts,jon,2025-06-06T11:51:20.244Z,
6.q1AgPCRTa0dV6lM2g6ww,6aDbqAwTt4zFRcqLgWZ8,uNKEGww8SVWyVYQj8vslaA,,checking with supplier,,,LoYTDAlDSFisIGRiyVXcFA,7jWCFKO9SGmYNSUTyjdRSw,oFfCFx8eS2--kBJ.DYP8Mw,Demo Admin,,2025-06-06T11:51:39.169Z,
afHi0eNW4Hb3uEDi3HNm,6aDbqAwTt4zFRcqLgWZ8,uNKEGww8SVWyVYQj8vslaA,,✅ Flag Cleared by Demo Admin,,3,LoYTDAlDSFisIGRiyVXcFA,7jWCFKO9SGmYNSUTyjdRSw,,Demo Admin,,2025-06-06T11:51:56.908Z,
4nZq3KvOTdSQ11UVfmoXLg,dmBEtiXzuiOCIQWKnlBg,d1S5Qn3uROaz61cWj9eADw,true,,3,1,N3AjDfQHRTyGWXiecZl7Ew,7jWCFKO9SGmYNSUTyjdRSw,oFfCFx8eS2--kBJ.DYP8Mw,Demo Manager Notts,jon,2025-06-06T11:59:08.368Z,
a-p1OJL6lTE2OdIVu9TUXVQ,dmBEtiXzuiOCIQWKnlBg,d1S5Qn3uROaz61cWj9eADw,,checking,,2,LoYTDAlDSFisIGRiyVXcFA,7jWCFKO9SGmYNSUTyjdRSw,oFfCFx8eS2--kBJ.DYP8Mw,Demo Admin,,2025-06-06T11:59:57.037Z,
A6ETyz4pRzu5u39SviRMVA,pH2DwBVvEvodkjn2kB4f,JrteG6G-R8-qK5BfE7HkVA,true,,1,1,trBDUhcWTzusuQFFoDjcRw,7jWCFKO9SGmYNSUTyjdRSw,Wrb-5IgyT1-lRXkb77zs6Q,Demo Manager Lough,jon,2025-06-09T12:20:10.631Z,
AXX0U1KYR3uU2Jmc-FnLqw,gffGq1qWOjozA9aTDLzg,eczBQ7PzTRG5v61oSTqyOg,true,,1,1,N3AjDfQHRTyGWXiecZl7Ew,7jWCFKO9SGmYNSUTyjdRSw,oFfCFx8eS2--kBJ.DYP8Mw,Demo Manager Notts,Jon,2025-06-10T11:41:01.244Z,
iNraMAZk91AmA3vrqGVP,gffGq1qWOjozA9aTDLzg,eczBQ7PzTRG5v61oSTqyOg,,✅ Flag Cleared by Demo Admin,,3,LoYTDAlDSFisIGRiyVXcFA,7jWCFKO9SGmYNSUTyjdRSw,oFfCFx8eS2--kBJ.DYP8Mw,Demo Admin,,2025-06-10T11:44:19.680Z,
JRGM62IBTIG-EVRlAOH12Q,zvhShyN4XlwvmMXXrhUW,eczBQ7PzTRG5v61oSTqyOg,true,,3,1,N3AjDfQHRTyGWXiecZl7Ew,7jWCFKO9SGmYNSUTyjdRSw,oFfCFx8eS2--kBJ.DYP8Mw,Demo Manager Notts,Jon,2025-06-10T12:02:46.225Z,
Wpucqc-vQa22mT-30Cz3ng,1FbvySi54qUQ5KpArILN,P25eM8x6RRiyxoGuTwNzew,true,Some reason,100,1,N3AjDfQHRTyGWXiecZl7Ew,7jWCFKO9SGmYNSUTyjdRSw,oFfCFx8eS2--kBJ.DYP8Mw,Demo Manager Notts,Jon,2025-06-10T12:06:37.277Z,
mxeetPK0S6e1fpZwlo1Hdg,neCyb533P155cJKtIRvz,P25eM8x6RRiyxoGuTwNzew,true,,2,1,N3AjDfQHRTyGWXiecZl7Ew,7jWCFKO9SGmYNSUTyjdRSw,oFfCFx8eS2--kBJ.DYP8Mw,Demo Manager Notts,Jon,2025-06-10T12:17:41.687Z,https://order-1c0u.glide.page/dl/68007d/s/611516/r/Ex7AoBjaSbaWlVnxUFILog/m/0af961/r/P25eM8x6RRiyxoGuTwNzew
wsYVpx0lTb-d7q.A-6IiIg,DfpSFvsw9Eae6KKfjWsx,R25RyyZARFa8c149ZvCDTA,true,,1,1,N3AjDfQHRTyGWXiecZl7Ew,7jWCFKO9SGmYNSUTyjdRSw,oFfCFx8eS2--kBJ.DYP8Mw,Demo Manager Notts,Jon,2025-06-10T12:21:24.639Z,https://order-1c0u.glide.page/dl/ae5855/m/ff499b/r/R25RyyZARFa8c149ZvCDTA
X-wyCp7aThurDNVLoNe4Vg,2HwI5N1JHn1b197QEhMJ,a.RKJAlgwSsuZTi7nTo4Jtw,true,"We order as each
",100,1,VYkpk09VRty1EBzVfCZK5A,wuqj75edR0670x.mQmMz0A,nx9eCYAATmuvrHPvNHkb9w,Loughborough Manager,Alee,2025-06-10T16:43:31.089Z,https://order-1c0u.glide.page/dl/68007d/s/611516/r/L0QTd42GQ0GxQ4XjcnJImw/m/0af961/r/a.RKJAlgwSsuZTi7nTo4Jtw
PmbSaZ7iQYWgPSKzZXYapg,QOuhJtY4mlJcxM4CZllD,qu96AiHMTdWrib7aiwZ9zg,true,We order per each not 12,100,1,VYkpk09VRty1EBzVfCZK5A,wuqj75edR0670x.mQmMz0A,nx9eCYAATmuvrHPvNHkb9w,Loughborough Manager,Alee,2025-06-10T16:48:53.080Z,https://order-1c0u.glide.page/dl/68007d/s/611516/r/L0QTd42GQ0GxQ4XjcnJImw/m/0af961/r/qu96AiHMTdWrib7aiwZ9zg
ci12wrdNSraIsJpZDf.jcw,KBOJ5NK0Brmwe0e1XeJE,y5WR6EwXTK6Zp3GxK9QMKQ,true,We order per each not 12,100,1,VYkpk09VRty1EBzVfCZK5A,wuqj75edR0670x.mQmMz0A,nx9eCYAATmuvrHPvNHkb9w,Loughborough Manager,Alee,2025-06-10T16:49:27.801Z,https://order-1c0u.glide.page/dl/68007d/s/611516/r/L0QTd42GQ0GxQ4XjcnJImw/m/0af961/r/y5WR6EwXTK6Zp3GxK9QMKQ
lQf3PgP0pULeiGtaZtlS,QOuhJtY4mlJcxM4CZllD,DwX6q344SgaYAHv0KGTtVw,,✅ Flag Cleared by Richard,,3,Yf4mVmvKQDqbClJDREe1rQ,wuqj75edR0670x.mQmMz0A,,Richard,,2025-06-11T10:06:38.259Z,
l1IT76B9LI3DWcn49B53,KBOJ5NK0Brmwe0e1XeJE,y5WR6EwXTK6Zp3GxK9QMKQ,,✅ Flag Cleared by Richard,,3,Yf4mVmvKQDqbClJDREe1rQ,wuqj75edR0670x.mQmMz0A,nx9eCYAATmuvrHPvNHkb9w,Richard,,2025-06-11T10:12:52.735Z,
c9ABoqazYFbQYpDvDREn,2HwI5N1JHn1b197QEhMJ,a.RKJAlgwSsuZTi7nTo4Jtw,,✅ Flag Cleared by Richard,,3,Yf4mVmvKQDqbClJDREe1rQ,wuqj75edR0670x.mQmMz0A,,Richard,,2025-06-11T10:14:22.789Z,
