🔒 SKU Row ID,Product Code,Product Name,Zonal/Added to Zonal,Unit,Cost,Supplier ID,Active/Active,Sorting/Pin,History/Created Timestamp,History/Created by User,Import/DatafromCSV ID,Par API/SKU Added to Par Helper,Mask API/Added to SKU Mask,Ownership/Org ID,Flag/Flag,Flag/Flag Message,History/Last updated,History/Last updated by,Delete,Set/Auto-Quantity Weekday,Notes/SKU Global Note
KfN4SmeQQCGtYu8sawxqMQ,37068,Soft Brown Sugar,true,10 x 500g,10.99,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,a-nbYxTEoSkOOteJNZpO0IA,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
LqDLG-3BQmusemn9ULXAXA,55396,Super Flapjack,true,1 x 12,17.63,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,zNZdh1l4R7--cJhmi8uNtw,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
HziGAr3UTbu1oy-ek3hhvA,N/A,Jeeves & Jericho English Breakfast Tea,true,1 x 100,20.5,w6AhNWWTQsiz3TYH.act5Q,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,BPCdd8jITWqWDyhuHVeICw,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
fN6ywhNySHW4zGB5Nk.Oyw,N/A,Jeeves & Jericho Gunpowder Green Tea,true,1 x 100,21.5,w6AhNWWTQsiz3TYH.act5Q,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,a.7Jmpnz-RJqQ3rtiE0X96g,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
tic8S3LcRR6qPXQwGD6J.w,8064,White Vinegar,true,5 Litre,3.95,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,IAuOPM1lTQ6XdJ2Db9yBPQ,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
gh9IpVg2S5uuldn1GZRywA,40082,Tahini,true,900g,8.66,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,84mQFgBCRGCgK8yH9BBFAA,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
I8O5XWV.R9WEtzg6cciUtg,4065,Ultimate Carrot,true,1 x 18,25.95,AjTs2rKDRt2drnhqSUkbng,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,7fV5lUG9RBKsjdpGVLCKaQ,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
6nwe1LfRRnS8MYiuy8DXQw,9848,HP Sauce,true,2 Litre,10.5,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,wetyqVLMQneNjdGcY3Trtw,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
xVXsrLf7S8in7TBIEcy8cg,44112,Milk Chocolate Callets,true,5KG,73.95,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,u4uLveN-RuaBw1czP0P0DQ,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
E3hpNgakSleya2bkdTAMWQ,7839,Heinz Ketchup,true,2 x 2.15 Litre,24,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,rkcxws8HTxGwSs3zF7UC4w,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
