🔒 Row ID,SKU ID,LOC ID,SUPPLIER ID,CSV ID,Owner ID,Site Mask/Active,Site Mask/Pinned,Site Mask/Weekday Set QTY,Site Mask/Weekend Set QTY,Site Mask/Weekday Par QTY,Site Mask/Weekend Par QTY,SKU Lookup/Product Description READ,SKU Lookup/Product Code READ,SKU Lookup/Unit READ,SKU Lookup/Cost READ,History/Created,History/Last PD Update
Wh16X3lgRhO9UNsmy5YvRA,WPxIhfJ2RPy0Cez7F0irnQ,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,au6Nylz.T7ynokJtzYQjUA,wuqj75edR0670x.mQmMz0A,true,,,,2,,Mini Jam Jars,5395,72 x 28g,22.5,,
CtbcQ2EhT7Ol9GwG0g.uSQ,vbLEFZd0ShWR60jEJRoQ5Q,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,zLm.qwXOQhKastqQg7UcvA,wuqj75edR0670x.mQmMz0A,true,,,,2,,Vanilla Essence,7509,500ml,3.37,,
laksqKzJQ6qw9tkqMdXgIQ,77XQA4OQRsWx9Cee6rxdLw,QG-A.oJrSF2AmUnmgpDNUg,w6AhNWWTQsiz3TYH.act5Q,KIMsyEcOTgiooYBqb-jH2w,wuqj75edR0670x.mQmMz0A,true,,,,2,,Jeeves & Jericho Lemon & Ginger Tea,N/A,1 x 100,21.5,,
McW1XfhkTIiYLfHx3CNZ2Q,2SvoqDw7TDeZE7AMHr4Lww,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,PvVTnLCYSyyI-zVvjR3EWw,wuqj75edR0670x.mQmMz0A,true,,,,2,,Maple Syrup,4597,620g,7.5,,
t4DwIn.ESF6r3hK73eQoUg,KfN4SmeQQCGtYu8sawxqMQ,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,a-nbYxTEoSkOOteJNZpO0IA,wuqj75edR0670x.mQmMz0A,true,,,,2,,Soft Brown Sugar,37068,10 x 500g,10.99,,
D2y-d3r-RaiPQGSiQqJ3tQ,LqDLG-3BQmusemn9ULXAXA,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,zNZdh1l4R7--cJhmi8uNtw,wuqj75edR0670x.mQmMz0A,true,,,,2,,Super Flapjack,55396,1 x 12,17.63,,
UYG8sIY7Soudrs5Piz.DOg,HziGAr3UTbu1oy-ek3hhvA,QG-A.oJrSF2AmUnmgpDNUg,w6AhNWWTQsiz3TYH.act5Q,BPCdd8jITWqWDyhuHVeICw,wuqj75edR0670x.mQmMz0A,true,,,,2,,Jeeves & Jericho English Breakfast Tea,N/A,1 x 100,20.5,,
YQUDGU4dSSKTtyamfMnAXg,fN6ywhNySHW4zGB5Nk.Oyw,QG-A.oJrSF2AmUnmgpDNUg,w6AhNWWTQsiz3TYH.act5Q,a.7Jmpnz-RJqQ3rtiE0X96g,wuqj75edR0670x.mQmMz0A,true,,,,2,,Jeeves & Jericho Gunpowder Green Tea,N/A,1 x 100,21.5,,
P7Jz0P9hSGWjId3tw1qe5Q,tic8S3LcRR6qPXQwGD6J.w,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,IAuOPM1lTQ6XdJ2Db9yBPQ,wuqj75edR0670x.mQmMz0A,true,,,,2,,White Vinegar,8064,5 Litre,3.95,,
7txovgYLQAS4WVjEwpYH8w,gh9IpVg2S5uuldn1GZRywA,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,84mQFgBCRGCgK8yH9BBFAA,wuqj75edR0670x.mQmMz0A,true,,,,2,,Tahini,40082,900g,8.66,,
Kv2DXRKeTEayMYzWuie.7g,I8O5XWV.R9WEtzg6cciUtg,QG-A.oJrSF2AmUnmgpDNUg,AjTs2rKDRt2drnhqSUkbng,7fV5lUG9RBKsjdpGVLCKaQ,wuqj75edR0670x.mQmMz0A,true,,,,2,,Ultimate Carrot,4065,1 x 18,25.95,,
mA29Jd53STimsI8EkQycQg,6nwe1LfRRnS8MYiuy8DXQw,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,wetyqVLMQneNjdGcY3Trtw,wuqj75edR0670x.mQmMz0A,true,,,,2,,HP Sauce,9848,2 Litre,10.5,,
00CjLyz6RFSprxTwAiNmZg,xVXsrLf7S8in7TBIEcy8cg,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,u4uLveN-RuaBw1czP0P0DQ,wuqj75edR0670x.mQmMz0A,true,,,,2,,Milk Chocolate Callets,44112,5KG,73.95,,
ERbQitcRSWGB9B1W1DLdYg,E3hpNgakSleya2bkdTAMWQ,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,rkcxws8HTxGwSs3zF7UC4w,wuqj75edR0670x.mQmMz0A,true,,,,2,,Heinz Ketchup,7839,2 x 2.15 Litre,24,,
F-c5aIUiQ421vKHzzzQbJg,nRmJdNqxQLWBpU8fdKK6GA,QG-A.oJrSF2AmUnmgpDNUg,a.3hkq3OGSyWf66d3VFCiPg,3SQsNu9dRnCI40Y6jZNCOw,wuqj75edR0670x.mQmMz0A,true,,,,2,,Pinot Grigio Rose Montevento 2023,10037092023BT06,6 x 75cl,6.59,,
Kf0nxtOhRMOrgg5XG94juw,9vPiJxB6QFeSewmT9CqmMA,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,N4tBKgi0QoyVVrmhdx5Pdw,wuqj75edR0670x.mQmMz0A,true,,,,2,,Granulated Sugar,30287,5kg,8.54,,
9MkrAGCUQwyqBeZmu20A0w,m0ZX2ZLvTi2j9ijlrfiW8g,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,KXwwfh9bQm6lCx1.odFmNg,wuqj75edR0670x.mQmMz0A,true,,,,2,,Maldon Sea Salt,20924,1.4kg,12.5,,
XYLenSA7T4KHMCOQnNKVLA,T-qKxnW9TBu9OpIO2fMl.w,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,KeSBWcyJS52APZUoamsBzA,wuqj75edR0670x.mQmMz0A,true,,,,2,,Burrata,62728,12 x 125g,27.99,,
MvcN520ASsqsgwC2wFb9DA,DMd129x3RSS5bj5NgT-8DA,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,7iAZXuXoTRG-LX5vRMI35w,wuqj75edR0670x.mQmMz0A,true,,,,2,,Croissants,45724,50 x 90g,24.2,,
EKsQ0-NbR1yOti.Mg-If5w,P01Xd8W8RRWKhekwQ969Pg,QG-A.oJrSF2AmUnmgpDNUg,w6AhNWWTQsiz3TYH.act5Q,yV8JuKr8QO29okEyWICiRA,wuqj75edR0670x.mQmMz0A,true,,,,2,,Jeeves & Jericho Red Berry Tea,N/A,1 x 100,21.5,,
2AfqZDkeSquRRKGskSuTGA,4vj8iv4xSwWtkw8NFGHZGg,QG-A.oJrSF2AmUnmgpDNUg,AjTs2rKDRt2drnhqSUkbng,KRqh2e8QSRSwypmzDsEcWQ,wuqj75edR0670x.mQmMz0A,true,,,,2,,Apricot & Pistachio Frangipane (Sliced),6047,1 x 16,27.25,,
